readingdef_uid,machine,vendor,readingdef_name,canonical_role,is_evidence_signal,external_signal_type,external_signal_category,si_unit,mes_signal_type,mes_signal_category,mes_exclude_from_oee,matched_mes,unit_uid,unit_id
00000000-0000-0000-0000-000000000004,Makine 9,Fanuc,Manual Workorder,workorder,False,WORK_ORDER_NO,,,WORK_ORDER_NO,,False,True,3a1d1435-0a17-9903-5c19-3d0f521b78ee,3
00000000-0000-0000-0000-000000000005,Makine 9,Fanuc,Manual Stock,stock,False,STOCK_NO,,,STOCK_NO,,False,True,3a1d1435-0a17-9903-5c19-3d0f521b78ee,3
00000000-0000-0000-0000-000000000001,Makine 9,Fanuc,Undefined Stoppage,stop_event,False,STOP,UNPLANNED,,STOP,UNPLANNED,False,True,3a1d1435-0a17-9903-5c19-3d0f521b78ee,3
3a1d1435-0c08-4aee-4375-dd331c56e7e9,Makine 1,Fanuc,STATINFO_RUN,run_state,False,,,,,,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
3a1d1435-0c5e-0279-215d-45ffe7205c87,Makine 1,Fanuc,MagazineToolChange,stop_event,False,STOP,PLANNED,,STOP,PLANNED,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
3a1d1435-0c4d-ceaf-e7a7-206557992f14,Makine 1,Fanuc,ProgramNo,program,False,STOCK_NO,,,STOCK_NO,,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
3a1d1435-0c2b-81d1-6bdc-96f980ca27f0,Makine 1,Fanuc,M30 Duruş,stop_event,False,STOP,PLANNED,,STOP,PLANNED,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
3a1d1435-0bd5-aa55-e8a0-1e637db187fa,Makine 1,Fanuc,EXECUTION,machine_mode,False,,,,,,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
3a1d1435-0c3c-3a53-b34c-5c0c933210e9,Makine 1,Fanuc,PIECES_PRODUCED,production_count,False,,,,,,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
3a1d1435-0bf7-291b-8baa-74658610c6ef,Makine 1,Fanuc,RUNNING_PROGRAM_NO,program,False,,,,,,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
3a1d1435-0bb7-3baf-8108-6370b43b2d35,Makine 1,Fanuc,CYCLE_TIME_MS,cycle_time,True,STOCK_CYCLE,,,STOCK_CYCLE,,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
3a1d1435-0c1a-8ed1-d779-2434945409d3,Makine 1,Fanuc,PIECES_PRODUCED_TOTAL,production_count,False,COUNT,,Ad,COUNT,,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
3a1d1435-0be7-9d85-956b-1d4859553afa,Makine 1,Fanuc,IsNotRunning,run_state,False,STOP,UNPLANNED,,STOP,UNPLANNED,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
3a1eb3d6-3861-8614-2781-23ce6a1bffce,Makine 1,Fanuc,ALM_ARR_MSG,alarm,False,ALERT_ARRAY,,,ALERT_ARRAY,,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
00000000-0000-0000-0000-000000000002,Makine 1,Fanuc,Test Production,test_prod,False,TEST_PROD,,,TEST_PROD,,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
3a1debed-c893-2f4c-a687-32e8654d8864,Makine 6,Mitsubishi,"COMMAND_2__GetCommand2(EZNC_M, 1)",axis_position,False,,,,,,False,True,3a1debed-c5e4-2f15-1576-2551d5f4bcbf,11
3a1debed-c8b1-0bc5-eee3-d95d344ac39c,Makine 6,Mitsubishi,CYCLE_TIME_M800__GetCycleTimeM800,cycle_time,True,STOCK_CYCLE,,,STOCK_CYCLE,,False,True,3a1debed-c5e4-2f15-1576-2551d5f4bcbf,11
3a1debed-c7b1-7da2-d2db-4fb24ccd995f,Makine 6,Mitsubishi,PATH_LOAD_MODULE__GetPathLoadModule,path_load,True,,,,,,False,True,3a1debed-c5e4-2f15-1576-2551d5f4bcbf,11
3a1debed-c7cb-d872-fe79-f303b073046d,Makine 6,Mitsubishi,NC_MODE__GetNcMode,machine_mode,False,,,,,,False,True,3a1debed-c5e4-2f15-1576-2551d5f4bcbf,11
3a1debed-c7e6-29c1-532c-f136e2e33555,Makine 6,Mitsubishi,HEAD__GetHead,machine_mode,False,,,,,,False,True,3a1debed-c5e4-2f15-1576-2551d5f4bcbf,11
3a1debed-c801-4f2a-16f3-22cbf70499ea,Makine 6,Mitsubishi,TCP_WORK_POSITION__GetTCPWorkPosition(2),axis_position,False,,,,,,False,True,3a1debed-c5e4-2f15-1576-2551d5f4bcbf,11
3a1debed-c81d-a3f5-7cb7-0b824d897f35,Makine 6,Mitsubishi,PROGRAM_POSITION_3__GetProgramPosition3(1),axis_position,False,,,,,,False,True,3a1debed-c5e4-2f15-1576-2551d5f4bcbf,11
3a1debed-c839-c9d6-7f83-53943f9e8147,Makine 6,Mitsubishi,PROGRAM_POSITION_3__GetProgramPosition3(2),axis_position,False,,,,,,False,True,3a1debed-c5e4-2f15-1576-2551d5f4bcbf,11
3a1debed-c855-bbc9-db3d-9f86bc2c8acb,Makine 6,Mitsubishi,PROGRAM_NUMBER_2__GetProgramNumber2(EZNC_MAINPRG),program,False,STOCK_NO,,,STOCK_NO,,False,True,3a1debed-c5e4-2f15-1576-2551d5f4bcbf,11
3a1debed-c872-5415-11a3-8590e62ca066,Makine 6,Mitsubishi,START_TIME__GetStartTime,run_time,False,,,,,,False,True,3a1debed-c5e4-2f15-1576-2551d5f4bcbf,11
00000000-0000-0000-0000-000000000002,Makine 6,Mitsubishi,Test Production,test_prod,False,TEST_PROD,,,TEST_PROD,,False,True,3a1debed-c5e4-2f15-1576-2551d5f4bcbf,11
00000000-0000-0000-0000-000000000006,Makine 6,Mitsubishi,System Offline,stop_event,False,STOP,UNPLANNED,,STOP,UNPLANNED,False,True,3a1debed-c5e4-2f15-1576-2551d5f4bcbf,11
00000000-0000-0000-0000-000000000006,Makine 1,Fanuc,System Offline,stop_event,False,STOP,UNPLANNED,,STOP,UNPLANNED,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
00000000-0000-0000-0000-000000000003,Makine 1,Fanuc,Manual Scrap,scrap,False,PROD_ERROR,,,PROD_ERROR,,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
00000000-0000-0000-0000-000000000004,Makine 1,Fanuc,Manual Workorder,workorder,False,WORK_ORDER_NO,,,WORK_ORDER_NO,,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
00000000-0000-0000-0000-000000000005,Makine 1,Fanuc,Manual Stock,stock,False,STOCK_NO,,,STOCK_NO,,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
00000000-0000-0000-0000-000000000001,Makine 1,Fanuc,Undefined Stoppage,stop_event,False,STOP,UNPLANNED,,STOP,UNPLANNED,False,True,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,4
3a1d1435-0afb-6139-3b0c-e51a87e8ba74,Makine 2,Fanuc,MagazineToolChange,stop_event,False,STOP,PLANNED,,STOP,PLANNED,False,True,3a1d1435-0afb-41a7-2d12-5eb77c185258,5
